Age,Income,CreditScore,LoanAmount,Experience,Savings,TransactionCount,Approved
59,82761,742,246058,7,108119,68,1
49,146178,685,153623,25,57003,90,1
35,61368,745,81001,28,99837,108,1
28,31783,624,200231,9,99283,57,0
41,136530,767,142775,16,152044,14,1
59,66914,630,53243,1,128805,57,1
39,95507,736,172872,5,98846,105,1
43,104026,517,281716,4,27927,12,1
31,140893,539,288854,27,125589,56,1
31,136255,520,191918,4,120657,71,1
44,135616,724,239055,17,71630,108,1
56,92526,781,230129,25,109428,23,1
44,95835,507,228139,19,127035,72,1
23,70765,599,100257,26,188419,70,1
42,44956,739,26530,11,131244,40,1
22,112895,586,293260,6,74518,104,1
44,71240,797,85794,2,181355,26,1
50,146008,513,230545,9,86326,33,1
58,62148,833,152970,33,148277,32,1
22,119270,501,24135,24,125243,91,1
41,29757,792,270870,34,17748,59,0
53,44097,824,109087,15,157169,87,1
32,35395,540,216103,1,139164,88,0
42,41241,817,299215,23,58311,88,1
45,128892,815,40074,9,27692,79,1
47,52696,610,241796,21,129954,36,1
48,140654,513,87843,25,159934,24,1
36,95480,730,59901,26,135035,59,1
35,71163,583,293349,28,84507,45,1
23,44816,629,288050,19,85152,17,0
57,74840,730,82987,26,9926,88,1
27,127547,825,74400,19,8969,12,1
41,77853,644,176222,18,40733,71,1
29,49917,844,51852,19,74855,56,1
59,121731,527,139052,34,46743,86,1
38,46566,565,76481,1,135193,114,0
24,100452,662,283427,29,175948,107,1
45,87823,728,53691,33,112445,97,1
34,146392,760,218137,21,25323,113,1
29,45806,663,46170,2,21428,105,0
46,100520,800,28438,5,39578,70,1
22,26759,802,167226,14,91486,41,1
40,66949,786,291896,26,69140,103,1
48,117374,509,75426,9,112325,22,1
27,27482,694,259968,8,88829,10,1
28,49442,617,175289,32,11364,43,0
55,58719,769,281501,31,133867,71,1
34,83066,579,239780,5,171421,88,1
37,118501,592,166108,1,136763,117,1
56,27079,765,228347,28,100598,87,1
24,27717,831,117756,3,181968,102,0
22,84676,849,115665,0,62062,107,1
26,52952,756,151717,18,149933,91,1
24,111444,632,182002,25,93302,80,1
49,67460,775,281691,24,68928,102,1
38,115397,763,101835,9,46347,40,1
46,97847,670,142232,14,8121,73,1
54,118607,500,238561,21,88793,34,1
30,114106,812,263051,20,33164,47,1
56,43449,563,177547,21,30491,23,0
34,58536,783,63732,33,64222,17,1
51,89077,620,232695,29,159237,100,1
35,63258,606,197109,24,8748,63,0
28,73302,674,29346,27,31553,11,1
34,53865,703,282731,0,121547,90,1
43,31645,664,32763,3,65380,110,0
41,144771,804,210237,6,49331,87,1
36,63000,619,258553,8,125617,98,1
38,51737,543,140987,18,44560,65,1
44,36485,811,236823,0,58865,103,0
46,63565,655,111353,9,182758,102,1
45,50522,706,241373,8,80910,93,1
49,144614,607,45556,31,140747,94,1
35,90155,750,38099,31,82986,70,1
21,80168,833,196168,5,15068,31,1
45,77487,629,223058,16,59460,44,1
27,37342,792,164302,9,105766,110,1
29,65806,519,222041,26,51418,25,1
44,73770,781,53866,34,31206,59,1
21,103623,784,125400,20,133180,52,1
28,128177,500,157488,24,5287,26,1
44,124785,618,92516,27,27337,89,1
31,100629,534,206987,14,156738,67,1
37,145993,697,209139,3,137233,11,1
28,77603,744,178588,28,105667,13,1
55,137726,558,149295,8,95071,94,1
55,106974,824,107969,26,103064,48,1
53,130947,660,152161,25,174823,107,1
25,51399,678,225735,18,111511,103,1
59,110382,705,161559,27,150830,15,1
48,106244,511,282299,16,8178,90,1
27,134575,775,143950,19,36831,112,1
29,140520,680,96229,22,138248,98,1
28,135904,741,124648,31,108306,78,1
32,101534,715,58547,32,169726,78,1
54,80106,750,48795,4,162699,29,1
53,137599,798,206368,33,188622,73,1
43,55678,625,41447,10,117025,25,1
44,101218,716,187670,2,180982,60,1
57,88230,805,241823,32,95417,114,1
55,139684,784,276190,10,194323,46,1
42,99055,684,226402,15,171494,113,1
47,81373,538,272419,17,16984,82,0
55,56480,722,249817,29,94312,78,1
21,110230,683,75077,9,197458,51,1
55,93836,677,132782,17,88291,66,1
57,97258,793,122932,18,12135,75,1
34,64986,839,206339,12,5320,18,1
23,49160,650,118696,2,157756,116,0
21,110595,625,70939,9,191985,109,1
25,126358,800,207598,0,93774,95,1
46,104111,807,161521,26,157961,73,1
34,89929,835,70290,7,103071,95,1
59,98506,733,87990,16,184971,31,1
47,59911,507,78810,8,146842,43,1
29,112127,840,138362,5,175393,64,1
35,56821,628,166295,24,114863,38,1
35,100039,763,153669,27,46777,47,1
46,85535,656,216749,32,51250,119,1
33,138453,504,284803,8,78034,106,1
52,109458,585,106516,17,109940,27,1
59,37175,674,94567,20,45130,80,1
52,144235,789,297181,1,185418,74,1
24,79771,692,146498,14,138609,106,1
50,131660,810,197810,27,20216,10,1
57,146300,618,32109,17,89149,97,1
43,111925,717,290931,33,8009,13,1
59,138374,613,259472,21,94904,13,1
35,91358,644,159544,10,165399,91,1
49,42327,525,266183,12,150281,36,0
56,72057,635,174455,3,184515,52,1
33,31150,802,264325,21,20029,68,0
52,29425,731,54518,6,193069,41,1
27,148654,575,73909,23,107171,42,1
42,41032,827,220696,3,119456,37,0
48,27198,844,35282,27,67559,115,1
22,85500,801,259017,14,69892,114,1
26,78394,788,287219,0,75409,64,1
48,45079,500,199526,2,144707,109,0
48,61220,646,48365,13,38065,69,1
40,66874,786,293146,0,125544,79,1
50,38859,641,296091,20,112340,71,0
31,75460,552,230294,28,38783,89,1
48,56419,803,136219,4,39152,43,1
45,143865,568,76307,9,63741,96,1
59,33705,589,155565,27,112049,115,0
53,67880,719,275095,20,187574,97,1
21,48236,691,54228,6,34092,65,1
47,112955,562,230748,2,153725,22,1
33,110514,572,63472,19,176541,65,1
23,128145,660,157888,18,91483,27,1
59,40358,668,97175,34,126585,63,1
26,124713,588,84307,3,64754,86,1
28,119914,675,115028,4,166050,110,1
47,127870,768,162312,0,92592,52,1
29,101918,572,112493,3,99543,48,1
57,144179,744,145149,11,48169,70,1
53,141243,576,249416,26,184359,51,1
44,39596,658,222435,22,59745,90,0
35,58572,823,183834,24,115168,88,1
52,103757,597,290403,20,118985,27,1
52,26279,601,201211,23,10543,32,0
44,88197,631,296993,24,192464,63,1
32,136496,601,83095,31,26067,39,1
59,87516,518,137886,31,56033,107,1
22,32083,581,55292,4,50256,67,1
23,145674,778,94813,15,158263,77,1
57,145307,838,117136,32,91803,76,1
37,134397,830,71631,20,123843,80,1
22,42771,628,29885,8,33992,27,1
22,54975,843,205378,5,53803,115,1
48,70648,809,69812,34,114975,16,1
43,73285,588,201572,21,199549,49,1
57,44063,712,64900,4,149282,79,1
52,92642,642,298432,22,31270,95,1
53,115093,564,92692,16,198080,74,1
21,139390,575,247208,11,141269,77,1
39,111143,698,66403,22,12452,119,1
22,62599,642,111170,15,46486,58,1
46,76920,815,291312,2,19859,61,0
52,53529,592,79871,29,163308,116,1
26,60954,804,52174,21,167971,38,1
52,52856,723,250823,8,37083,30,1
24,27573,790,243563,28,72708,99,1
31,103344,601,157653,22,116462,87,1
37,60367,766,130155,12,152735,18,1
58,127337,609,147795,31,98076,56,1
44,131732,829,108668,22,24053,85,1
25,124608,764,233397,16,147157,51,1
54,85774,502,165639,20,166636,60,1
26,48752,584,259141,1,94745,65,0
42,80029,781,116019,5,195167,60,1
31,42685,827,48803,17,74517,79,1
36,76693,803,169302,29,157225,29,1
53,141739,616,168934,21,141319,97,1
29,80961,720,250147,32,146625,36,1
26,131937,653,50795,29,156883,47,1
36,149956,652,290914,16,142207,81,1
49,101908,511,31093,31,141645,74,1
23,99532,632,299713,13,84267,63,1
40,106994,803,293334,9,143261,33,1
56,81133,792,193824,33,85077,56,1
39,122425,799,183399,8,179718,80,1
46,86268,727,60197,27,81623,92,1
23,117201,770,22261,10,136004,95,1
39,63243,542,177584,13,58687,72,1
40,82384,842,155450,18,73312,66,1
52,56653,825,60583,14,112615,64,1
27,51657,801,180105,27,135976,69,1
53,64952,520,131032,23,32564,108,1
59,47180,606,226940,7,33835,71,0
38,122432,835,246727,8,197659,39,1
21,146829,802,93869,32,12697,102,1
31,103411,616,287554,32,85165,31,1
48,26622,623,207116,18,153118,84,0
45,73756,780,214387,2,62823,93,1
43,65809,791,222416,9,189442,38,1
51,41725,702,106716,0,14615,50,0
50,86396,550,74245,28,141132,51,1
55,76226,770,63056,33,135499,107,1
27,131296,823,270736,12,81436,74,1
36,106182,776,299687,0,196591,40,1
46,107565,640,245683,33,125562,39,1
22,54402,774,285972,28,76117,27,1
21,29263,789,136656,12,197230,26,1
32,148489,833,37087,28,39782,47,1
25,121523,551,156554,23,83533,23,1
57,71828,526,202024,25,194327,96,1
52,145824,656,156535,16,77684,98,1
29,72924,738,263236,6,192990,88,1
55,99182,655,90448,12,84558,119,1
39,118065,790,24648,4,86422,65,1
36,84052,635,55634,25,161328,31,1
23,36664,643,42054,2,166077,76,0
40,60737,605,90028,6,11638,65,1
44,126332,657,42207,0,42419,28,1
53,114563,645,250893,16,38377,66,1
44,54373,501,101554,24,111244,53,1
31,142369,576,172458,2,179188,107,1
28,61397,631,103276,14,172706,44,1
56,111145,589,203852,28,28382,10,1
58,126371,844,212512,31,192135,61,1
40,63709,849,28210,25,158466,94,1
55,141074,762,64363,15,72789,102,1
45,86120,607,262247,24,115634,79,1
55,44250,573,98279,27,136936,46,1
45,46172,538,211420,8,104572,74,0
49,36555,658,206356,0,176294,60,0
38,112410,570,223196,28,149738,10,1
38,103617,811,219919,21,128664,100,1
22,78276,740,277324,15,157027,30,1
55,82492,797,215161,6,115674,62,1
36,78002,535,250363,13,108533,25,1
56,145103,583,154393,28,86845,117,1
53,149938,762,229754,18,74590,70,1
24,114599,809,143053,18,132775,63,1
53,97355,671,203965,1,71471,49,1
34,116248,672,186892,14,48298,35,1
41,49762,546,154832,2,199180,89,0
40,36046,640,173262,10,53924,101,0
28,121999,617,87411,29,152781,74,1
27,149130,776,58211,17,14726,109,1
23,141021,713,233981,1,196896,83,1
37,53769,719,285888,31,45542,73,1
53,78302,525,276638,7,156317,52,1
32,48150,508,168049,21,39753,26,0
42,93247,770,249010,5,84788,68,1
